Nota;Etiqueta
i am so tired of hurting and being a lone .;Hopelessness
i have no control over anything in my life .;Hopelessness
i had my last meal a quiche and an earl grey tea which tasted great and a walk on the beach .;Hopelessness
i must end it .;Hopelessness
there is no hope left .;Hopelessness
to try further would mean many more months of bed rest more shots and inhalations i cannot remain at the hospital for the winter months and a prolonged stay at a rest home is out of the question .;Hopelessness
i feel justified in terminating a life which no longer holds any hope of having the essentials which make it worth living i did desperately want to get well i still had much to live for hope for recovery hope of a reunion with the children work which i loved and which could have given me financial security and great satisfaction .;Hopelessness
i do not have the passion anymore and so remember it is better to burn out than to fade away .;Hopelessness
i felt hopeless that i was just going to look like a man in drag for the rest of my life .;Hopelessness
i think of my life and feel i have done most of the right things .;Hopelessness
i am so tired and lonely .;Hopelessness
i am sick of it all .;Hopelessness
why should i bother trying anymore ?;Hopelessness
i am tired of trying .;Hopelessness
it upset my life a lot it threw everything backwards .;Hopelessness
the future is just old age and illness and pain .;Hopelessness
desperate to start a life .;Hopelessness
i am tired of this life so am going over to see the other side .;Hopelessness
i am totally bankrupt and broken .;Hopelessness
i do not deserve life anymore .;Hopelessness
at the end i have no option other than committing suicide .;Hopelessness
these days i see no light i wake up not wanting to wake up .;Hopelessness
i have no reason to breathe anymore .;Hopelessness
i have no confidence or self esteem left whatever talent whatever ambition you took it all away .;Hopelessness
i have nothing left in this world to live for after this .;Hopelessness
there is no hope left .;Hopelessness
am tired of people always telling me that they do not like me .;Hopelessness
i am tired of trying to be decent .;Hopelessness
love NAME;Love
j love you thank you for making my life so happy .;Love
love NAME;Love
i love you NAME you understand that last night was only a comedy .;Love
if we had a problem it is because i loved her so much .;Love
at times i have felt like a battered husband or boyfriend but i loved her .;Love
maybe this will start a chain reaction of awakening love communication .;Love
love and peace .;Love
what i want to say is i owe all the happiness of my life to you .;Love
my last word to you is the same that i have said during all these long sad yearslove .;Love
my last and loving thoughts are of you .;Love
my darling to love you as i do and live without you is more than i can bear .;Love
i love you so completely whole heartedly without restraint .;Love
if it is possible to love in the hereafter i will love you even after death .;Love
he alone knows my heartache and love for you .;Love
the knot of pink ribbon which you wore on your bosom the first time that i saw you surrounded by the children oh kiss them a thousand times for me and tell them the fate of their unhappy friend i think i see them playing around me .;Love
good bye my dear dear little wife .;Love
on a day like this everyone seeks the company of beloved ones .;Love
to my family and friends i love you very much .;Love
love .;Love
i embrace you both from the very bottom of my heart .;Love
my beloved berthe i am like a madman a frightening pain is gripping my brain .;Love
i love you completely you will find my body on the lot on the north side of the house .;Love
i kiss my dear children and carlotta .;Love
theres good in all of us and i simply love people too much .;Love
you are my children and i love you more than myself .;Love
love forever .;Love
please they love me too much and i need justice after my death .;Love
honey love u all mummy pappa bhaiya miss u .;Love
i love you all .;Love
love always NAME .;Love
daddy dear;Love
love NAME;Love
i love you mom and dad because even though you did not undertand may be you loved me and said i was fine and you would help me but at school it was like being in hell .;Love
no no fuck this world and everyone but i dnot mean you ilove you mom and dad and i do have some friends and not many but most everyone is a stupid asshole and i hope that they get sick and die .;Love
goodbye i love you mom and dad but i hate almost everyone else .;Love
dear mum;Love
i love you so much and i could not ask for a better mum .;Love
i love you .;Love
i love you to death but i just could not do it anymore .;Love
dear NAME;Love
my dearest NAME;Love
there is good in all of us and i think i simply love people too much so much that it makes me feel too fucking sad .;Love
only because i love and feel sorry for people too much i guess .;Love
i love you i love you !;Love
i loved her always have and always will .;Love
i want to send my love and thanks to all my friends .;Love
skip and kathy i love you guys without you i never would have made it through this far .;Love
at times i have felt like a battered husband or boyfriend but i loved her make that clear to everyone .;Love
you have always been my soul mate and i want you to love life and know i am always with you .;Love
i love you so much and know are an angel .;Love
i love you !;Love
i knew i loved you savage garden;Love
also all our friends especially NAME and NAME and NAME i love them also .;Love
i loved this house once but now it is so full of memories i cannot stay here .;Love
i love every one but i cannot be one of you any more .;Love
i loved it but that was not anything .;Love
well get at me love ya brother !;Love
dear mom i love you with all my heart .;Love
i love you !;Love
anne i love you .;Love
NAME i love you .;Love
my darling;Love
NAME our grand daughter i miss her .;Love
i love you i love you i hope you get to see NAME soon .;Love
i love you NAME;Love
mommie my darling;Love
i love you so completely wholeheartedly without restraint .;Love
how i loved you what you meant to me .;Love
dear NAME;Love
dear NAME;Love
my love you are in my heart .;Love
dear mother dad;Love
i love you both very much and wanted to get along with you both .;Love
your loving daughter;Love
love you;Love
dear NAME;Love
i loved you and was proud of you .;Love
dear children;Love
love NAME;Love
i love you all and will forever live within the memories we created .;Love
dearest i feel certain that i am going mad again .;Love
NAME i have always loved you .;Love
dear . .;Love
my dearest daughter NAME;Love
islam will be victorious in the end and lead the world .;Pride
woman i am glad that youre my brothers and sisters .;Pride
i am proud of how i lived .;Pride
i have always tried to be up and helpful .;Pride
my family is of the highest moral character and i feel that a stigma would attach unless i let the public at large know through this deed that i am a victim of circumstance by reason of mistaken identity .;Pride
i do not think two people could have been happier than we have been .;Pride
my spirit soars above my coffin .;Pride
i have always been such a good girl .;Pride
i have always been a very good person but it looks like i really got in a mess through no real fault of my own .;Pride
ahmad i never stopped being proud of you .;Pride
i am proud of how i lived .;Pride
your characteristic is that of a true angel and the definition of god s love !;Pride
all anyone talks about is how great they are or how great their kid is .;Pride
it is all about how great i am .;Pride
you have truly done something special at cdm .;Pride
you are the best you always have been .;Pride
to those of you who are shallow the events of this morning will be that story .;Sorrow
i am going to die in office in an effort to see if the shameful facts spread out in all their shame will not burn through our civic shamelessness and set fire to american pride .;Sorrow
what makes it nevertheless hard to take this final step is the reflection of the pain it is bound to inflict on my few surviving friends and above all my wife NAME .;Sorrow
my life came to an end the moment i said my last farewell to you .;Sorrow
in his charity god thus spared me the bitter end .;Sorrow
since i began feeling other peoples minds i have come to feel even more miserable .;Sorrow
i may look human from the outside but my inside is empty stupid dullwitted and selfisolating .;Sorrow
i cannot .;Sorrow
i do not .;Sorrow
i have paid my debts and no longe eed to count pains i have suffered at the hands of others the misfortunes and the insults .;Sorrow
her bare feet seem to be saying we have conte so far it is over .;Sorrow
for the past six or seven years i have been enduring the slings and arrows of outrageous misfortune until i feel like a wornout pin cushion .;Sorrow
we might have lived happily and in credit had your conduct been like mine .;Sorrow
i hope the man who has been the cause of it will think of this sad catastrophe .;Sorrow
farewell for ever .;Sorrow
i am leaving this place forever without thoughts without hope without work alone in the dark of night .;Sorrow
thats how unbelievable this has been .;Sorrow
it bothered me that when i die i might slip through the cracks and i thought well thats just the way it is .;Sorrow
you live in the country and life is cheap .;Sorrow
i just want to get out of here and go to sleep and just be left alone .;Sorrow
the question of suicide and selfishness to close friends and relatives is one that i cannot answer or even give an opinion on .;Sorrow
and the eight balls dreadful like an outhouse in a fog looms up to charm its victim supine in the grip of grog .;Sorrow
in spite of all that i have tried a handful of our people with their lies have made our life impossible .;Sorrow
theres no way to detach ourself from whats happened today .;Sorrow
if we cannot live in peace then lets die in peace .;Sorrow
and theres no way no way we can survive .;Sorrow
well some everybody dies .;Sorrow
some place that hope runs out because everybody dies .;Sorrow
we cannot have this .;Sorrow
you have never felt so good as how that feels .;Sorrow
we used to think thisworld wasthis world was not our home and it sure isnt .;Sorrow
rebelling i have not studied for about two months .;Sorrow
i am in bad shape .;Sorrow
why am i alone to be picked out i have worked hard in the matter of gift giving to outsiders .;Sorrow
so why is this happening i am sorry for the goldman family .;Sorrow
i know how much it hurts .;Sorrow
my life is complete except all my brothers are in troublewar poverty hunger hostility .;Sorrow
i have been so down so god dam down i cannot get up .;Sorrow
not even pot helps .;Sorrow
i have had a wonderful life but it is over and my nerves get worse and i am afraid they will have to take me away .;Sorrow
my fondes dreams are shattered because ofa petty offial i decide to end it .;Sorrow
somewhere a violin plays as i watch my life whirl away .;Sorrow
subject internet suicide note whats sad is that it did not have to end like this .;Sorrow
but now i am so isolated that will never happen .;Sorrow
all i want is a hug dammit but i will never have another one .;Sorrow
dearest i feel certain i am going mad again .;Sorrow
and i shant recover this time .;Sorrow
i begin to hear voices and i cannot concentrate .;Sorrow
i do not think two people could have been happier till this terrible disease came .;Sorrow
you see i cannot even write this properly .;Sorrow
i cannot read .;Sorrow
i would rather get myself .;Sorrow
i have long determined that the best thing i could do was to put an end to the existence of a being whose birth was unfortunate and whose life has only been a series of pains to those persons who have hurt their health in endeavoring to promote her welfare .;Sorrow
perhaps to hear of my death may give you pain but you will soon have the blessing of forgetting that such a creature ever existed .;Sorrow
the talk made me realize the misery of human beings struggling just to live .;Sorrow
this gives me satisfaction even in a life which has been a series of sufferings .;Sorrow
i have had many dreams as all young people do but thinking back i might after all just have been an odd person .;Sorrow
i cannot help dying with contempt for myself as the scum of society and an ungrateful coward .;Sorrow
my mothers incessant but miserable efforts .;Sorrow
all were beyond what i deserved .;Sorrow
deaths a sad bone bruised you would say and yet she waits for me year after year to so delicately undo an old wound to empty my breath from its bad prison .;Sorrow
here i am with nowhere to spend new years in anyones company .;Sorrow
my life has been nothing but a battle for the last four months .;Sorrow
prayed in sorrow and got up in agitation .;Sorrow
i have always had excellent health but since my early childhood i have suffered from a melancholia which in the last five years has begun to show definite symptoms of manicdepressive insanity .;Sorrow
if the gossips insist on something more definite and thrilling as a reason let them choose my pending appointment with the dentist or the fact that i happen to be painfully short of cash at the moment .;Sorrow
i am a nuisance;Sorrow
it is time to die .;Sorrow
a sense of failing health of physical decadence .;Sorrow
may 16 now even the morning is filled with pain .;Sorrow
the real fault apart from my own lies with that agonizing disquietude with its secret smile .;Sorrow
the more the pain grows clear and definite the more the instinct for life asserts itself and the thought of suicide recedes .;Sorrow
if so what everything has always been discord when i long sofor harmony .;Sorrow
it is getting rather dark to write .;Sorrow
if we go to a university in japan it must be tokyo or kyoto .;Sorrow
sometimes this genius goes dark and sinks down into the bitter well of his heart .;Sorrow
i do not want to give you sorrow but i am not able to live i am dying every moment .;Sorrow
good bye forever .;Sorrow
this year has been so tough .;Sorrow
i cannot stand it anymore .;Sorrow
why does it have to be like this ?;Sorrow
as much as it hurts me i cannot make it this friday .;Sorrow
i must have been born to suffer .;Sorrow
why dooes everyone hate me becaus of that .;Sorrow
i have been punched and spit on and called faggot queer loser pussy fag boy .;Sorrow
some people do not talk to me .;Sorrow
why do people need to do this and we did nothing .;Sorrow
so why is this life so fucked .;Sorrow
why i just am going to end eveything now this is it i need to kill myself i love many people mom and dad i love you and you did not do anything bad i hate life and this is why i have to die i am scared and i am tired of being laughted at made fun of beaten up and threatened and shit and and feeling like shit .;Sorrow
how do we know anyting .;Sorrow
people are just too stupid .;Sorrow
do you like to fuck guys fag boy .;Sorrow
you like guys little fag boy .;Sorrow
i am never happy .;Sorrow
cannot i tell anyone .;Sorrow
why was i a gay though why me why whey why why i always ask .;Sorrow
and why does fag have to mean anything bad but i am gay not a fag and just a person like anyone else .;Sorrow
it is not worth living .;Sorrow
it really is not worth living .;Sorrow
why should i go on .;Sorrow
i feel like shit everyday i do not want to go out anymore .;Sorrow
i never want to go to school how can i learn anyting i cannot i do not care .;Sorrow
grades so what and then i will work and people will call me fag i will always be a fag to them .;Sorrow
or that i am an ugly faggot and no other faggot would fuck me .;Sorrow
who says i want to fuck or when or why or where .;Sorrow
why did all of this happen my head is just so fucked up i am sad always .;Sorrow
i do not remember when iwas happy .;Sorrow
i feel so much pain all of the time i guess you could say that i am like numb .;Sorrow
because i am .;Sorrow
just pain all pain .;Sorrow
and i hate the pain .;Sorrow
i am always sad .;Sorrow
but when all usefulness is over when one is assured of an unavoidable and imminent death it is the simplest of human rights to choose a quick and easy death in place of a slow and horrible one .;Sorrow
it is so lonely here .;Sorrow
i want to sleep but it just wo not come .;Sorrow
my head hurts so much from crying but if i take anything for it i am scared i wo not stop and i would want to stop .;Sorrow
i am breaking into pieces .;Sorrow
but my heart cannot take this pain .;Sorrow
i am going to miss you so much .;Sorrow
goodbye sad;Sorrow
i am depressed .;Sorrow
am haunted by the vivid memories of killings and corpses and anger and pain . . of starving or wounded children of;Sorrow
have gone to join NAME if i am that lucky .;Sorrow
if life were more a positive experience than a negative i would stick around until infirmity set in .;Sorrow
the truth is nothing on earth can help me .;Sorrow
everyday became harder and harder .;Sorrow
i know you cannot understand and i do not expect you to .;Sorrow
i am a lonely soul;Sorrow
all of a sudden all will and determination to fight on has left me .;Sorrow
but it was not to be i am defeated and exhausted physically and emotionally .;Sorrow
i grieve that i could not have had the joy of being close to our babies but that is no one s fault .;Sorrow
i am said that i must go just a few days before your birthday but it so happened to pan out .;Sorrow
i see no good in incurring the expense and misery of the bronchoscopy .;Sorrow
i NAME hereby declare my wish to die a free man rather than to continue to live as a slave in a prison;Sorrow
it seems as if i have been spending all my life apologizing to you for things that happened whether they were my fault o ot .;Sorrow
sometimes i feel as if i should have a punch in time clock before i walk out on stage .;Sorrow
i need to be slightly numb in order to regain the enthusiasms i once had as a child .;Sorrow
the sad little sensitive unappreciative pisces jesus man .;Sorrow
i cannot stand the thought of frances becoming the miserable self destructive death rocker that i have become .;Sorrow
i am too much of an erratic moody baby !;Sorrow
even if you are christian or are against transgender people do not ever say that to someone especially your kid .;Sorrow
when i was 16 i realized that my parents would never come around and that i would have to wait until i was 18 to start any sort of transitioning treatment which absolutely broke my heart .;Sorrow
i was completely alone for 5 months .;Sorrow
no friends no support no love .;Sorrow
just my parent s disappointment and the cruelty of loneliness .;Sorrow
after a summer of having almost no friends plus the weight of having to think about college save money for moving out keep my grades up go to church each week and feel like shit because everyone there is against everything i live for i have decided i have had enough .;Sorrow
i am never going to transition successfully even when i move out .;Sorrow
i am never going to be happy with the way i look or sound .;Sorrow
i am never going to have enough friends to satisfy me .;Sorrow
i am never going to have enough love to satisfy me .;Sorrow
i am never going to find a man who loves me .;Sorrow
i am never going to be happy .;Sorrow
either i live the rest of my life as a lonely man who wishes he were a woman or i live my life as a lonelier woman who hates herself .;Sorrow
there is no winning .;Sorrow
there is no way out .;Sorrow
i am sad enough already i do not need my life to get any worse .;Sorrow
it gets worse .;Sorrow
each day i get worse .;Sorrow
dear world i am leaving because i am bored .;Sorrow
why did i deserve this pain ?;Sorrow
have you ever thought about what you said to me ?;Sorrow
huh . . maybe not !;Sorrow
i am so sick of being called ugly fat stupid . . worthless etc .;Sorrow
and i sure in the hell do not need you to tell me .;Sorrow
you told me so much that i started believing it .;Sorrow
took all my pills be dead soon so bye bye every one .;Sorrow
in kindergarten i could not use the bathroom and would stand petrified whenever i needed to which started a trend of awkward and unexplained social behavior .;Sorrow
the damage that was done to my body still prevents me from using the bathroom normally but now it is less of a physical impediment than a daily reminder of what was done to me .;Sorrow
if we had a problem it is because i loved her so much .;Sorrow
despite our love we were different and that is why we mutually agreed to go our separate ways .;Sorrow
i wish we had spent more time together in recent years .;Sorrow
what the outcome people will look and point .;Sorrow
i have always tried to be up and helpful so why is this happening ?;Sorrow
i know how much it hurts .;Sorrow
everyone seems so happy and i am so alone .;Sorrow
i have tried to think of some way to go on but cannot .;Sorrow
i have lost every thing so why go on .;Sorrow
i worshipped ron and when he went i lost my whole world and everything .;Sorrow
oh how can i stand being left .;Sorrow
i got hurt bad when i was a child .;Sorrow
i was hurt in a way that no person no little child should be hurt .;Sorrow
i think about suicide on a daily basis sometimes it is all that i can think about .;Sorrow
i had a lot of problems with my memory for a while .;Sorrow
even now i cannot remember some things .;Sorrow
starting a week before the overdose i do not remember anything at all .;Sorrow
it sounds real stupid .;Sorrow
i started wondering if people could trust me .;Sorrow
i was embarrassed that people had to see me like that .;Sorrow
if i cannot see my daughter here i will see her from above;Sorrow
papa i only see sadness in your face .;Sorrow
you are tense because you have to get two daughters married .;Sorrow
i just was not meant for this world !;Sorrow
i hurt so bad inside !;Sorrow
i wll miss you .;Sorrow
it was always with myself i had problems .;Sorrow
i feel a growing gap between my soul and my body .;Sorrow
our feelings are second handed .;Sorrow
our love is constructed .;Sorrow
it has become truly difficult to love without getting hurt .;Sorrow
in every field in studies in streets in politics and in dying and living .;Sorrow
my birth is my fatal accident .;Sorrow
i can never recover from my childhood loneliness .;Sorrow
may be i was wrong all the while in understanding world .;Sorrow
all the while some people for them life itself is curse .;Sorrow
my birth is my fatal accident .;Sorrow
i can never recover from my childhood loneliness .;Sorrow
i am not hurt at this moment .;Sorrow
i am not sad .;Sorrow
that is pathetic .;Sorrow
people may dub me as a coward .;Sorrow
and selfish or stupid once i am gone .;Sorrow
i forgot to write the formalities .;Sorrow
i was always tensed to see you worrying because of my tension .;Sorrow
what is a few short years to live in hell .;Sorrow
this is no way to live .;Sorrow
her grub i cannot eat .;Sorrow
at night i cannot sleep .;Sorrow
i married the wrong nag nag nag and i lost my life .;Sorrow
so much pressure is put on kids to do good and a lot of kids make mistakes .;Sorrow
people do not understand how to be selfless .;Sorrow
nobody seems to understand they only see people on the outside .;Sorrow
finals have pressured me immensely along with a lot of other people .;Sorrow
i will not be allowed to love and trust everybody .;Sorrow
if i were your bitchy comments that i am assuming were your attempt to help would not have .;Sorrow
if i had stayed another minute i would have painted the walls and stained the carpets with my blood so you could clean it up .;Sorrow
no more games .;Sorrow
no more bombs .;Sorrow
no more walking .;Sorrow
no more fun .;Sorrow
no more swimming .;Sorrow
boring .;Sorrow
i am always bitchy .;Sorrow
no fun for anybody .;Sorrow
i have caused too great a burden to be placed upon them .;Sorrow
i cannot begin to fathom the countless agonies down the road .;Sorrow
the rest of my life would only be a burden for others .;Sorrow
i am unable to do anything because of poor health .;Sorrow
i cannot keep on going because it should be me that is gone from this earth not her .;Sorrow
i have never been the man any of you could count on .;Sorrow
i do not feel sorry for myself .;Sorrow
i cannot be strong anymore .;Sorrow
i miss her so much .;Sorrow
NAME i miss her .;Sorrow
i miss her . . i want my family back .;Sorrow
why is she gone ?;Sorrow
why could she not come to us ?;Sorrow
wow what a word stupid .;Sorrow
again i do not feel sorry for myself but yes i am stupid .;Sorrow
the loss of NAME .;Sorrow
the loss of NAME .;Sorrow
the loss of us NAME the meds i am ready .;Sorrow
saying good bye please understand it is for the best .;Sorrow
you had great plans which did not include me .;Sorrow
so good bye my love .;Sorrow
i am broken inside .;Sorrow
i feel dead inside .;Sorrow
it did not matter how many gifts i gave you or how beautiful i looked for you .;Sorrow
i cannot eat or sleep or think or function .;Sorrow
the career is not even worth it anymore .;Sorrow
about you cheating on me .;Sorrow
things were looking up for me here but is it worth it when you constantly feel the pain of heartbreak when the person you love wants to abuse you or threatens to hit you or cheats on you telling other girls they are beautiful or throws you out of their house when you have nowhere to go and you have come to them out of love or when they lie to your face or they make you chase after them in their car .;Sorrow
or disrespects their family .;Sorrow
but you were never my partner .;Sorrow
my future is destroyed my happiness snatched away from me .;Sorrow
you never appreciated my love kicked me in the face .;Sorrow
it hurt me so much that i waited for you for ten days and you did not bother buying me something .;Sorrow
you chose to be away from me on valentines day .;Sorrow
i spent money on you selflessly you would throw in my face .;Sorrow
when i would cry for you .;Sorrow
i leave this place with nothing but broken dreams and empty promises .;Sorrow
all i want now is to go to sleep and never wake up again .;Sorrow
i am nothing .;Sorrow
i felt so alone even while with you .;Sorrow
then i feel like i am not existing in the human race at all .;Sorrow
for seven years life has brought me no joy and being totally blas i have decided to put an end to those viragos .;Sorrow
how can you explain that since 72 women were not authorized to go to the frontline ? ?;Sorrow
will we hear of caesar s female legions and female galley slaves who of course took up 50 of the ranks of history though they never existed .;Sorrow
the ongoing stress put on at cdm has been inescapable .;Sorrow
putting this much pressure on me has caused me to do what i do .;Sorrow
a handful of the problems i have had this year are teachers giving us worksheets then not teaching while the whole class messes around having a teacher tell we that there will he something on the final that we have not learned and will not learn having things on prior tests that we have eithe ot learned or barely gone over at all and a mean teacher who made every day i had with this teacher something i dreaded to .;Sorrow
the stress put on we has led me to this point .;Sorrow
things just seemed to go too wrong too many times .;Sorrow
papa your unfortunate daughter laxmi;Sorrow
i hate myself and i hate living .;Sorrow
i have a job but i am always broke;Sorrow
imagine god playing a dirty trick on me like another life ! !;Sorrow
could it really be so awful ? that is what i say to myself now .;Sorrow
ah the unexplainable;Sorrow
heartache unresolved;Sorrow
with death shall be solved .;Sorrow
despair and depression;Sorrow
the sadness will last forever .;Sorrow
my heart beginning to break .;Sorrow
my eyes drowning in a sea of emotion .;Sorrow
excuse the blood but i have slit my wrists and neck .;Sorrow
no one will understand the reason for this anyway .;Sorrow
to give some semblance of an explanation i am not a human this is just a dream and soon i will awake .;Sorrow
as a last salutation may i present life eternal .;Sorrow
when a man does not know where to take his wife then she is not a wife any more;Sorrow
what is a few short years to live in hell .;Sorrow
no more i will have to eat the leftover articles that was cooked the day before .;Sorrow
this is no way to live .;Sorrow
either is it any way to die .;Sorrow
i married the wrong nag nag nag and i lost my life .;Sorrow
people have always put obstacles in my way .;Sorrow
what on earth is in me i may be breathing thanks to the support of parents and other people around me but my real self is like a lifeless doll .;Thankfulness
i just like to thank dad NAME cause he was the only one to stand up for me when i need him .;Thankfulness
i thank you for the favor you have given me just because i am from the same prefecture as you .;Thankfulness
i am thankful for it and i feel sorry that i gave you much trouble .;Thankfulness
i want to send my love and thanks to all my friends i am sorry i cannot name every one of you especially a . c . man thanks for being in my life .;Thankfulness
thanks for making my life special .;Thankfulness
the dear children how warmly have i been attached to you NAME since the first hour i saw you how impossible have i found it to leave you this ribbon must be buried with me it was a present from you on my birthday .;Thankfulness
thank you for standing beside me .;Thankfulness
for my part i am more tired of this wretched merciless planet the hell it holds for so many masses of beautiful people thank you for the only life i have known .;Thankfulness
in particular my remorse is bitter over my failure to appreciate my beautiful lost angel NAME the only woman i ever loved and whom i respect and admire above all the rest of the human race .;Thankfulness
i have it good very good and i am grateful .;Thankfulness
many thanks to all my friends .;Thankfulness
many thanks to professor NAME s last psychiatrist .;Thankfulness
many thanks to mr . NAME .;Thankfulness
many thanks to my family .;Thankfulness
many thanks to sister fei in my life i have done nothing bad .;Thankfulness
thank you for caring and feeding and loving me for 14 years .;Thankfulness
pps thanks for the support not that you convinced me but i appreciate the camaraderie .;Thankfulness
thank god they are well with my passing all menace to their wellbeing will have disappeared .;Thankfulness
i am deeply grateful for all your kindness .;Thankfulness
their generosity devotion love and tact made it possible for me to accept their financial help over a long period of time .;Thankfulness
i have a goddess of a wife who sweats ambition and empathy and a daughter who reminds me too much of what i used to be full of love and joy kissing every person she meets because everyone is good and will do he o harm .;Thankfulness
thank you all from the pit of my burning nauseous stomach for your letters and concern during the past years .;Thankfulness
my golfing buddies NAME NAME NAME NAME NAME NAME NAME NAME NAME NAME thanks for the fun .;Thankfulness
NAME NAME thanks for always being there .;Thankfulness
NAME thanks for the early years .;Thankfulness
thanks for making my life special .;Thankfulness
i thank the good lord for giving me 47 years of exciting challenges stimulating experiences many happy occasions and most of all the finest wife and children a man could ever desire .;Thankfulness
thank you for making my life so happy .;Thankfulness
i appreciate all your work time effort and never let that slip your mind !;Thankfulness
goodbye and thank you for all your love .;Thankfulness
thanks for all the pain .;Thankfulness
thanks for giving me the opportunity .;Thankfulness
thanks to all for the memories .;Thankfulness
thank you for trying to talk and understand me .;Thankfulness
and thank you for accusing me of being annorexic for years .;Thankfulness
thanks for letting paula help me on the picture .;Thankfulness
thank you for being a positive influence on my life and making it a little better .;Thankfulness
